City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Magadan,RU,59.57,150.8,51.51,84,11,3.04,Few Clouds
1,Yellowknife,CA,62.46,-114.35,59.56,77,75,9.22,Broken Clouds
2,Nikolskoye,RU,59.7,30.79,48.09,94,100,11.32,Moderate Rain
3,Touros,BR,-5.2,-35.46,77.5,73,73,21.0,Broken Clouds
4,Punta Arenas,CL,-53.15,-70.92,46.51,71,100,8.05,Overcast Clouds
5,Adrar,MR,20.5,-10.07,82.54,56,100,7.07,Light Rain
6,Ushuaia,AR,-54.8,-68.3,47.82,66,75,6.91,Light Intensity Drizzle
7,Teguise,ES,29.06,-13.56,73.62,78,20,17.27,Few Clouds
8,Praia Da Vitoria,PT,38.73,-27.07,76.75,88,75,5.48,Broken Clouds
9,Namibe,AO,-15.2,12.15,64.89,87,68,11.3,Broken Clouds
10,Butaritari,KI,3.07,172.79,81.97,78,7,20.33,Clear Sky
11,Kangaatsiaq,GL,68.31,-53.46,38.93,81,100,16.69,Light Rain
12,Gondanglegi,ID,-7.75,112.01,73.56,92,60,7.67,Broken Clouds
13,Porto Novo,BJ,6.5,2.6,76.82,87,99,7.74,Overcast Clouds
14,Mayumba,GA,-3.43,10.66,74.19,87,71,11.27,Broken Clouds
15,Jamestown,US,42.1,-79.24,77.02,40,75,19.57,Broken Clouds
16,Pangnirtung,CA,66.15,-65.71,51.8,58,20,4.61,Few Clouds
17,Busselton,AU,-33.65,115.33,47.53,79,0,10.25,Clear Sky
18,Mataura,NZ,-46.19,168.86,44.82,92,57,2.08,Broken Clouds
19,Suntar,RU,62.14,117.63,37.13,97,99,4.54,Overcast Clouds
20,Tasiilaq,GL,65.61,-37.64,42.96,94,100,5.35,Overcast Clouds
21,Vizinga,RU,61.07,50.1,48.25,94,100,10.8,Light Rain
22,Avarua,CK,-21.21,-159.78,78.85,78,8,5.75,Clear Sky
23,Rikitea,PF,-23.12,-134.97,72.99,79,2,4.54,Clear Sky
24,Arraial Do Cabo,BR,-22.97,-42.03,67.96,60,0,16.11,Clear Sky
25,Baghdad,IQ,33.34,44.4,87.71,27,0,3.44,Clear Sky
26,Hithadhoo,MV,-0.6,73.08,80.73,74,89,14.81,Overcast Clouds
27,Lavrentiya,RU,65.58,-171.0,44.74,98,100,11.07,Light Rain
28,Hermanus,ZA,-34.42,19.23,56.66,54,10,14.81,Clear Sky
29,Camacupa,AO,-12.02,17.48,69.49,41,79,4.34,Broken Clouds
30,Iberia,US,29.95,-91.75,93.96,52,0,6.91,Clear Sky
31,Priverno,IT,41.47,13.19,77.45,90,100,2.15,Overcast Clouds
32,Dikson,RU,73.51,80.55,41.14,89,89,12.88,Overcast Clouds
33,North Bend,US,43.41,-124.22,64.17,100,44,1.01,Scattered Clouds
34,Ponta Do Sol,PT,32.67,-17.1,74.71,77,96,6.89,Overcast Clouds
35,Kaeo,NZ,-35.1,173.78,54.32,90,100,4.0,Overcast Clouds
36,Vossevangen,NO,60.62,6.42,56.34,90,11,3.8,Few Clouds
37,Saint-Francois,FR,46.42,3.91,67.44,73,0,3.44,Clear Sky
38,New Norfolk,AU,-42.78,147.06,50.92,72,86,1.01,Overcast Clouds
39,Kapaa,US,22.08,-159.32,83.1,65,20,13.8,Few Clouds
40,Sao Filipe,CV,14.9,-24.5,77.81,79,95,7.94,Overcast Clouds
41,Kruisfontein,ZA,-34.0,24.73,54.88,73,0,12.28,Clear Sky
42,Mar Del Plata,AR,-38.0,-57.56,57.22,51,0,11.99,Clear Sky
43,Kavieng,PG,-2.57,150.8,82.49,69,91,16.84,Overcast Clouds
44,Upernavik,GL,72.79,-56.15,39.65,91,100,20.11,Overcast Clouds
45,Taoudenni,ML,22.68,-3.98,101.25,16,17,5.44,Few Clouds
46,Paragominas,BR,-2.97,-47.48,94.06,32,50,3.18,Scattered Clouds
47,Chute-Aux-Outardes,CA,49.12,-68.4,62.58,88,100,10.36,Overcast Clouds
48,Geraldton,AU,-28.77,114.6,55.81,54,0,17.27,Clear Sky
49,Tiznit,MA,29.58,-9.5,82.53,42,29,3.33,Scattered Clouds
50,Havre-Saint-Pierre,CA,50.23,-63.6,68.36,88,100,9.22,Overcast Clouds
51,Dingle,PH,11.0,122.67,76.06,91,100,3.96,Overcast Clouds
52,Padang,ID,-0.95,100.35,76.93,86,54,3.69,Light Rain
53,Port Alfred,ZA,-33.59,26.89,54.18,77,0,3.0,Clear Sky
54,Lagoa,PT,39.05,-27.98,71.76,76,62,6.73,Broken Clouds
55,Pevek,RU,69.7,170.31,32.77,89,100,12.03,Overcast Clouds
56,Hilo,US,19.73,-155.09,87.28,72,20,11.5,Few Clouds
57,Kati,ML,12.74,-8.07,78.21,91,33,3.4,Light Rain
58,Natal,BR,-5.79,-35.21,80.82,69,20,19.57,Few Clouds
59,Kiama,AU,-34.68,150.87,57.0,92,40,5.86,Scattered Clouds
60,Berceni,RO,44.93,26.12,71.47,94,81,5.44,Broken Clouds
61,Manali,IN,13.17,80.27,78.89,80,70,4.81,Broken Clouds
62,Alice Springs,AU,-23.7,133.88,54.95,88,75,4.61,Broken Clouds
63,Kamloops,CA,50.67,-120.32,85.19,32,40,4.61,Scattered Clouds
64,Port Elizabeth,ZA,-33.92,25.57,59.29,75,0,18.41,Clear Sky
65,Dongsheng,CN,39.82,109.98,58.37,41,0,2.39,Clear Sky
66,Piacabucu,BR,-10.41,-36.43,73.09,80,100,14.27,Overcast Clouds
67,Camarillo,US,34.22,-119.04,111.6,49,0,12.66,Clear Sky
68,Airai,TL,-8.93,125.41,56.44,80,72,2.98,Broken Clouds
69,Fortuna,US,40.6,-124.16,65.32,83,20,8.05,Few Clouds
70,Bud,US,39.45,-86.18,83.75,49,0,6.87,Clear Sky
71,Nadym,RU,65.53,72.52,39.76,83,50,6.96,Scattered Clouds
72,Kaitangata,NZ,-46.28,169.85,47.08,85,42,3.24,Scattered Clouds
73,Garowe,SO,8.41,48.48,80.24,48,94,16.26,Overcast Clouds
74,College,US,64.86,-147.8,61.59,62,75,8.05,Broken Clouds
75,Sao Joao Da Barra,BR,-21.64,-41.05,69.89,59,17,10.76,Few Clouds
76,Port Augusta,AU,-32.5,137.77,46.67,76,10,7.02,Clear Sky
77,Cape Town,ZA,-33.93,18.42,67.37,40,0,3.44,Clear Sky
78,Codrington,AU,-38.27,141.97,46.9,72,100,8.01,Overcast Clouds
79,Akdepe,TM,42.06,59.38,77.09,19,0,9.73,Clear Sky
80,Wanning,CN,18.8,110.4,78.78,87,7,3.49,Clear Sky
81,Georgetown,MY,5.41,100.34,82.89,89,20,4.61,Moderate Rain
82,Olmos,PE,-5.98,-79.75,85.71,37,78,10.78,Broken Clouds
83,Silute,LT,55.35,21.48,53.11,74,50,6.82,Scattered Clouds
84,Chokurdakh,RU,70.63,147.92,37.0,71,100,7.07,Overcast Clouds
85,Matadi,CD,-5.82,13.45,77.23,68,93,10.04,Overcast Clouds
